"State Imports by NAICS Commodities"
"Current date: 03/15/2026 5:03 PM (Eastern Daylight Time)"
"Measures: Customs Value (Gen) ($US)"
"State","Commodity","Country","Time","Customs Value (Gen) ($US)",
"All States","All Commodities","Central African Republic","2026 through January","4,320"
"All States","All Commodities","Chad","2020","3,322,196"
"All States","All Commodities","Chad","2021","4,060,626"
"All States","All Commodities","Chad","2022","4,617,612"
"All States","All Commodities","Chad","2023","84,297,524"
"All States","All Commodities","Chad","2024","80,814,038"
"All States","All Commodities","Chad","2025","16,656,880"
"All States","All Commodities","Chad","2026 through January","895,901"
"All States","All Commodities","Chile","2020","10,100,015,886"
"All States","All Commodities","Chile","2021","15,061,357,069"
"All States","All Commodities","Chile","2022","15,566,932,420"
"All States","All Commodities","Chile","2023","15,579,815,918"
"All States","All Commodities","Chile","2024","16,422,607,708"
"All States","All Commodities","Chile","2025","18,957,283,079"
"All States","All Commodities","Chile","2026 through January","1,654,409,482"
"All States","All Commodities","China","2020","432,548,018,651"
"All States","All Commodities","China","2021","504,246,266,398"
"All States","All Commodities","China","2022","536,268,689,234"
"All States","All Commodities","China","2023","427,246,582,836"
"All States","All Commodities","China","2024","438,741,998,078"
"All States","All Commodities","China","2025","308,379,722,302"
"All States","All Commodities","China","2026 through January","21,057,908,407"
"All States","All Commodities","Christmas Island","2020","458,137"
"All States","All Commodities","Christmas Island","2021","1,508,376"
"All States","All Commodities","Christmas Island","2022","797,208"
"All States","All Commodities","Christmas Island","2023","4,364,210"
"All States","All Commodities","Christmas Island","2024","1,747,242"
"All States","All Commodities","Christmas Island","2025","72,078"
"All States","All Commodities","Christmas Island","2026 through January","3,509"
"All States","All Commodities","Cocos (Keeling) Islands","2020","1,506,173"
"All States","All Commodities","Cocos (Keeling) Islands","2021","2,043,394"
"All States","All Commodities","Cocos (Keeling) Islands","2022","895,073"
"All States","All Commodities","Cocos (Keeling) Islands","2023","2,022,637"
"All States","All Commodities","Cocos (Keeling) Islands","2024","1,026,096"
"All States","All Commodities","Cocos (Keeling) Islands","2025","220,981"
"All States","All Commodities","Colombia","2020","10,779,986,716"
"All States","All Commodities","Colombia","2021","13,175,359,569"
"All States","All Commodities","Colombia","2022","18,478,764,151"
"All States","All Commodities","Colombia","2023","16,109,010,151"
"All States","All Commodities","Colombia","2024","17,864,616,422"
"All States","All Commodities","Colombia","2025","17,814,233,177"
"All States","All Commodities","Colombia","2026 through January","1,562,614,677"
"All States","All Commodities","Comoros","2020","3,428,920"
"All States","All Commodities","Comoros","2021","6,321,729"
"All States","All Commodities","Comoros","2022","5,547,705"
"All States","All Commodities","Comoros","2023","3,336,110"
"All States","All Commodities","Comoros","2024","1,848,391"
"All States","All Commodities","Comoros","2025","815,093"
"All States","All Commodities","Comoros","2026 through January","4,369"
"All States","All Commodities","Congo","2020","132,186,459"
"All States","All Commodities","Congo","2021","52,033,062"
"All States","All Commodities","Congo","2022","143,668,597"
"All States","All Commodities","Congo","2023","296,682,684"
"All States","All Commodities","Congo","2024","40,145,865"
"All States","All Commodities","Congo","2025","104,304,730"
"All States","All Commodities","Congo","2026 through January","5,145,611"
"All States","All Commodities","Cook Islands","2020","2,452,650"
"All States","All Commodities","Cook Islands","2021","1,199,209"
"All States","All Commodities","Cook Islands","2022","998,449"
"All States","All Commodities","Cook Islands","2023","560,458"
"All States","All Commodities","Cook Islands","2024","892,119"
"All States","All Commodities","Cook Islands","2025","320,940"
"All States","All Commodities","Cook Islands","2026 through January","2,584"
"All States","All Commodities","Costa Rica","2020","5,349,270,273"
"All States","All Commodities","Costa Rica","2021","6,535,625,634"
"All States","All Commodities","Costa Rica","2022","8,738,361,682"
"All States","All Commodities","Costa Rica","2023","10,468,021,001"
"All States","All Commodities","Costa Rica","2024","11,625,457,625"
"All States","All Commodities","Costa Rica","2025","13,912,876,602"
"All States","All Commodities","Costa Rica","2026 through January","758,251,670"
"All States","All Commodities","Cote d'Ivoire","2020","880,727,768"
"All States","All Commodities","Cote d'Ivoire","2021","1,226,155,675"
"All States","All Commodities","Cote d'Ivoire","2022","1,055,025,997"
"All States","All Commodities","Cote d'Ivoire","2023","947,917,532"
"All States","All Commodities","Cote d'Ivoire","2024","1,014,712,870"
"All States","All Commodities","Cote d'Ivoire","2025","1,921,079,460"
"All States","All Commodities","Cote d'Ivoire","2026 through January","349,189,828"
"All States","All Commodities","Croatia","2020","601,039,945"
"All States","All Commodities","Croatia","2021","817,597,267"
"All States","All Commodities","Croatia","2022","860,363,899"
"All States","All Commodities","Croatia","2023","900,403,571"
"All States","All Commodities","Croatia","2024","1,000,109,643"
