State Exports by NAICS Commodities,,,,
Current date: 03/15/2026 5:00 PM (Eastern Daylight Time),,,,
Measures: Total Exports Value ($US),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
All States,All Commodities,Bhutan,2026 through January,"70,834"
All States,All Commodities,Bolivia,2020,"447,799,372"
All States,All Commodities,Bolivia,2021,"553,197,982"
All States,All Commodities,Bolivia,2022,"494,024,122"
All States,All Commodities,Bolivia,2023,"505,736,002"
All States,All Commodities,Bolivia,2024,"429,924,190"
All States,All Commodities,Bolivia,2025,"348,488,595"
All States,All Commodities,Bolivia,2026 through January,"33,233,556"
All States,All Commodities,Bosnia and Herzegovina,2020,"21,610,525"
All States,All Commodities,Bosnia and Herzegovina,2021,"51,707,920"
All States,All Commodities,Bosnia and Herzegovina,2022,"55,917,210"
All States,All Commodities,Bosnia and Herzegovina,2023,"25,252,230"
All States,All Commodities,Bosnia and Herzegovina,2024,"53,038,850"
All States,All Commodities,Bosnia and Herzegovina,2025,"29,240,730"
All States,All Commodities,Bosnia and Herzegovina,2026 through January,"2,575,129"
All States,All Commodities,Botswana,2020,"48,657,249"
All States,All Commodities,Botswana,2021,"52,881,876"
All States,All Commodities,Botswana,2022,"45,172,662"
All States,All Commodities,Botswana,2023,"68,340,955"
All States,All Commodities,Botswana,2024,"104,321,153"
All States,All Commodities,Botswana,2025,"63,571,327"
All States,All Commodities,Botswana,2026 through January,"824,947"
All States,All Commodities,Brazil,2020,"34,591,765,452"
All States,All Commodities,Brazil,2021,"46,986,998,292"
All States,All Commodities,Brazil,2022,"54,432,504,656"
All States,All Commodities,Brazil,2023,"44,539,201,887"
All States,All Commodities,Brazil,2024,"49,136,108,132"
All States,All Commodities,Brazil,2025,"54,383,648,702"
All States,All Commodities,Brazil,2026 through January,"4,116,633,706"
All States,All Commodities,British Indian Ocean Territories,2020,"7,299,945"
All States,All Commodities,British Indian Ocean Territories,2021,"6,082,905"
All States,All Commodities,British Indian Ocean Territories,2022,"4,823,414"
All States,All Commodities,British Indian Ocean Territories,2023,"3,019,019"
All States,All Commodities,British Indian Ocean Territories,2024,"5,329,523"
All States,All Commodities,British Indian Ocean Territories,2025,"12,521,615"
All States,All Commodities,British Indian Ocean Territories,2026 through January,"530,310"
All States,All Commodities,British Virgin Islands,2020,"283,570,233"
All States,All Commodities,British Virgin Islands,2021,"272,957,686"
All States,All Commodities,British Virgin Islands,2022,"488,297,429"
All States,All Commodities,British Virgin Islands,2023,"473,132,266"
All States,All Commodities,British Virgin Islands,2024,"308,846,832"
All States,All Commodities,British Virgin Islands,2025,"508,109,326"
All States,All Commodities,British Virgin Islands,2026 through January,"23,273,174"
All States,All Commodities,Brunei,2020,"146,432,115"
All States,All Commodities,Brunei,2021,"100,654,156"
All States,All Commodities,Brunei,2022,"113,654,302"
All States,All Commodities,Brunei,2023,"141,547,150"
All States,All Commodities,Brunei,2024,"127,212,979"
All States,All Commodities,Brunei,2025,"99,544,119"
All States,All Commodities,Brunei,2026 through January,"7,614,372"
All States,All Commodities,Bulgaria,2020,"375,081,264"
All States,All Commodities,Bulgaria,2021,"339,029,771"
All States,All Commodities,Bulgaria,2022,"531,066,964"
All States,All Commodities,Bulgaria,2023,"511,392,559"
All States,All Commodities,Bulgaria,2024,"482,361,192"
All States,All Commodities,Bulgaria,2025,"1,125,733,062"
All States,All Commodities,Bulgaria,2026 through January,"41,286,585"
All States,All Commodities,Burkina Faso,2020,"71,951,664"
All States,All Commodities,Burkina Faso,2021,"96,562,281"
All States,All Commodities,Burkina Faso,2022,"66,248,000"
All States,All Commodities,Burkina Faso,2023,"46,123,302"
All States,All Commodities,Burkina Faso,2024,"54,394,709"
All States,All Commodities,Burkina Faso,2025,"68,226,973"
All States,All Commodities,Burkina Faso,2026 through January,"6,900,709"
All States,All Commodities,Burma,2020,"339,321,932"
All States,All Commodities,Burma,2021,"213,358,788"
All States,All Commodities,Burma,2022,"130,399,954"
All States,All Commodities,Burma,2023,"172,416,904"
All States,All Commodities,Burma,2024,"75,739,976"
All States,All Commodities,Burma,2025,"79,395,507"
All States,All Commodities,Burma,2026 through January,"6,531,403"
All States,All Commodities,Burundi,2020,"5,407,619"
All States,All Commodities,Burundi,2021,"4,448,354"
All States,All Commodities,Burundi,2022,"5,075,810"
All States,All Commodities,Burundi,2023,"4,049,000"
All States,All Commodities,Burundi,2024,"6,343,333"
All States,All Commodities,Burundi,2025,"4,384,273"
All States,All Commodities,Burundi,2026 through January,"42,468"
All States,All Commodities,Cabo Verde,2020,"6,922,056"
All States,All Commodities,Cabo Verde,2021,"12,653,510"
All States,All Commodities,Cabo Verde,2022,"15,654,833"
All States,All Commodities,Cabo Verde,2023,"61,721,063"
All States,All Commodities,Cabo Verde,2024,"12,246,976"
All States,All Commodities,Cabo Verde,2025,"38,375,092"
All States,All Commodities,Cabo Verde,2026 through January,"765,662"
All States,All Commodities,Cambodia,2020,"344,076,129"
All States,All Commodities,Cambodia,2021,"415,494,243"
All States,All Commodities,Cambodia,2022,"445,830,398"
All States,All Commodities,Cambodia,2023,"306,594,523"
All States,All Commodities,Cambodia,2024,"318,999,421"
All States,All Commodities,Cambodia,2025,"370,216,568"
All States,All Commodities,Cambodia,2026 through January,"30,811,895"
All States,All Commodities,Cameroon,2020,"187,381,786"
All States,All Commodities,Cameroon,2021,"148,618,829"
All States,All Commodities,Cameroon,2022,"191,873,021"
All States,All Commodities,Cameroon,2023,"218,081,862"
All States,All Commodities,Cameroon,2024,"187,659,457"
All States,All Commodities,Cameroon,2025,"169,343,846"
All States,All Commodities,Cameroon,2026 through January,"10,790,967"
All States,All Commodities,Canada,2020,"256,212,256,538"
All States,All Commodities,Canada,2021,"309,604,001,291"
